Date;Open;High;Low;Close;Volume;Market_Cap
2024-10-15;66049.99492708022;66049.99492708022;66049.99492708022;66049.99492708022;46553796134.14602;1306085613997.8015
2024-10-16;66962.21994496793;66962.21994496793;66962.21994496793;66962.21994496793;51797932876.82809;1323774576161.621
2024-10-17;67647.54414766871;67647.54414766871;67647.54414766871;67647.54414766871;40640495380.19594;1337304399194.887
2024-10-18;67328.10527002988;67328.10527002988;67328.10527002988;67328.10527002988;34512072357.92087;1330387728623.8188
2024-10-19;68465.61920668735;68465.61920668735;68465.61920668735;68465.61920668735;39984956633.228035;1353541799303.4875
2024-10-20;68388.87128965274;68388.87128965274;68388.87128965274;68388.87128965274;14110889435.452631;1351942347611.1997
2024-10-21;68962.82918045693;68962.82918045693;68962.82918045693;68962.82918045693;17253863432.786995;1362381684459.9053
2024-10-22;67394.85775735618;67394.85775735618;67394.85775735618;67394.85775735618;40485496091.95008;1332326858574.4448
2024-10-23;67351.04793512498;67351.04793512498;67351.04793512498;67351.04793512498;31398389967.38113;1331426858508.4004
2024-10-24;66683.96806542306;66683.96806542306;66683.96806542306;66683.96806542306;32676918488.059;1318285437546.2786
2024-10-25;68214.05205157402;68214.05205157402;68214.05205157402;68214.05205157402;35892606570.03549;1347888109010.5889
2024-10-26;66585.66535501445;66585.66535501445;66585.66535501445;66585.66535501445;48426924850.053406;1313975091942.221
2024-10-27;67018.1650170265;67018.1650170265;67018.1650170265;67018.1650170265;21169467789.89267;1325192118637.2595
2024-10-28;67938.55412885673;67938.55412885673;67938.55412885673;67938.55412885673;16533385730.434193;1343350549900.1233
2024-10-29;69845.304531169;69845.304531169;69845.304531169;69845.304531169;41990540384.96554;1380874923096.4146
2024-10-30;72781.11308158132;72781.11308158132;72781.11308158132;72781.11308158132;65487782004.97014;1439310420089.3665
2024-10-31;72342.62171127986;72342.62171127986;72342.62171127986;72342.62171127986;43498144313.67304;1431085552900.1965
2024-11-01;70264.99735573279;70264.99735573279;70264.99735573279;70264.99735573279;45907074188.570145;1390195908292.9321
2024-11-02;69507.92256395647;69507.92256395647;69507.92256395647;69507.92256395647;54863092261.31101;1374687306836.925
2024-11-03;69299.16036699413;69299.16036699413;69299.16036699413;69299.16036699413;14709379754.965973;1370516856365.7996
2024-11-04;68803.50626277467;68803.50626277467;68803.50626277467;68803.50626277467;37659435506.757034;1362302032218.0198
2024-11-05;67793.29782704762;67793.29782704762;67793.29782704762;67793.29782704762;46183110993.79166;1340192510479.9568
2024-11-06;69335.42553133758;69335.42553133758;69335.42553133758;69335.42553133758;40025021601.49395;1370963795352.6948
2024-11-07;75620.88606963192;75620.88606963192;75620.88606963192;75620.88606963192;128492534668.23851;1496392703840.9058
2024-11-08;75987.24178320667;75987.24178320667;75987.24178320667;75987.24178320667;66590396087.4524;1502620808927.6982
2024-11-09;76550.0213845611;76550.0213845611;76550.0213845611;76550.0213845611;50687468387.720375;1514048743889.1255
2024-11-10;76630.22631415377;76630.22631415377;76630.22631415377;76630.22631415377;31430906055.796104;1519470275068.1016
2024-11-11;80466.71654833542;80466.71654833542;80466.71654833542;80466.71654833542;93473126207.67865;1590846468754.067
2024-11-12;88637.42000322911;88637.42000322911;88637.42000322911;88637.42000322911;133959805308.72511;1756619702929.0437
2024-11-13;88264.59974582895;88264.59974582895;88264.59974582895;88264.59974582895;152356811694.44943;1741113172482.1243
2024-11-14;90488.10007497849;90488.10007497849;90488.10007497849;90488.10007497849;136046309843.60645;1790737763695.3328
2024-11-15;87407.51273710128;87407.51273710128;87407.51273710128;87407.51273710128;99649391847.08359;1726797438787.217
